timestamp,site_id,site_name,url,status_code,response_time_ms,is_up,error_message,check_type,screenshot_path
2026-05-25T00:48:47.998211,google,Google,https://www.google.com,-1,3.11,False,"HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338A380>: Failed to resolve 'www.google.com' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:48.106825,httpbin_ok,Httpbin (OK Test),https://httpbin.org/status/200,-1,3.49,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/200 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338A650>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:48.208443,httpbin_slow,Httpbin (Slow Test),https://httpbin.org/delay/5,-1,3.63,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /delay/5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338B370>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:48.289743,httpbin_404,Httpbin (404 Down Test),https://httpbin.org/status/404,-1,3.72,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/404 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B3389F00>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:48.394154,github,GitHub,https://github.com,-1,201.31,False,Browser engine failure: ,browser,
2026-05-25T00:48:53.460042,google,Google,https://www.google.com,-1,4.18,False,"HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D8759EF20>: Failed to resolve 'www.google.com' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:53.559592,httpbin_ok,Httpbin (OK Test),https://httpbin.org/status/200,-1,3.73,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/200 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D87593460>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:53.668554,httpbin_slow,Httpbin (Slow Test),https://httpbin.org/delay/5,-1,4.63,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /delay/5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D87592AD0>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:53.745680,httpbin_404,Httpbin (404 Down Test),https://httpbin.org/status/404,-1,2.86,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/404 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000027D875920B0>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:48:53.847895,github,GitHub,https://github.com,-1,207.66,False,Browser engine failure: ,browser,
2026-05-25T00:53:48.413981,google,Google,https://www.google.com,-1,2.89,False,"HTTPSConnectionPool(host='www.google.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B3388AF0>: Failed to resolve 'www.google.com' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:53:48.499656,httpbin_ok,Httpbin (OK Test),https://httpbin.org/status/200,-1,2.75,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /status/200 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338A050>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
2026-05-25T00:53:48.593285,httpbin_slow,Httpbin (Slow Test),https://httpbin.org/delay/5,-1,3.61,False,"HTTPSConnectionPool(host='httpbin.org', port=443): Max retries exceeded with url: /delay/5 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000210B338BDC0>: Failed to resolve 'httpbin.org' ([Errno 11001] getaddrinfo failed)""))",request,
